district,eligible,voters,turnout,municipality,APL_NUM
R. Jankausko,1901,1067,56.13,Vilniaus miesto,358
D. Gerbutavičiaus,1648,925,56.13,Vilniaus miesto,359
Sietyno,2448,1382,56.45,Vilniaus miesto,360
A. P. Kavoliuko,2866,1496,52.2,Vilniaus miesto,361
V. Vaitkaus,1952,1074,55.02,Vilniaus miesto,362
A. J. Povilaičio,2323,1208,52.0,Vilniaus miesto,363
Laisvės,2739,1441,52.61,Vilniaus miesto,364
Pilaitės,5229,2764,52.86,Vilniaus miesto,369
Kriaučiūnų,560,260,46.43,Vilniaus miesto,370
Vingio,2593,1358,52.37,Vilniaus miesto,401
Geležinio Vilko,2615,1106,42.29,Vilniaus miesto,403
Gluosnių,2793,1475,52.81,Vilniaus miesto,405
Skroblų,3475,1573,45.27,Vilniaus miesto,407
Vilkpėdės,1792,837,46.71,Vilniaus miesto,408
Riešuto,1928,1024,53.11,Vilniaus miesto,410
Titnago,3922,1674,42.68,Vilniaus miesto,411
Aukštųjų Panerių,1436,542,37.74,Vilniaus miesto,412
Bukčių,4186,2426,57.96,Vilniaus miesto,413
Akacijų,2569,1437,55.94,Vilniaus miesto,414
Oslo,4052,2193,54.12,Vilniaus miesto,415
Žėručio,3076,1771,57.57,Vilniaus miesto,416
Paparčio,2827,1466,51.86,Vilniaus miesto,417
Salininkų,2477,970,39.16,Vilniaus miesto,451
Lietuvių namų,2583,1019,39.45,Vilniaus miesto,452
Dzūkų,2763,1190,43.07,Vilniaus miesto,453
Kapsų,1367,537,39.28,Vilniaus miesto,454
Dariaus ir Girėno,1441,645,44.76,Vilniaus miesto,455
Kaminkelio,2516,1000,39.75,Vilniaus miesto,456
Naujininkų,1706,875,51.29,Vilniaus miesto,457
Brolių,2116,937,44.28,Vilniaus miesto,458
Gimnazijos,1765,787,44.59,Vilniaus miesto,459
Kirtimų,1443,530,36.73,Vilniaus miesto,460
Palydovo,2415,1041,43.11,Vilniaus miesto,461
Rugiagėlių,2316,931,40.2,Vilniaus miesto,462
A. Kojelavičiaus,1549,526,33.96,Vilniaus miesto,463
Užusienio,966,467,48.34,Vilniaus miesto,464
Genių,1731,790,45.64,Vilniaus miesto,465
Pergalės,2932,1332,45.43,Vilniaus miesto,466
Darželio,1950,888,45.54,Vilniaus miesto,467
Karklėnų,2835,1332,46.98,Vilniaus miesto,468
J. Kolaso,5165,2424,46.93,Vilniaus miesto,469
Parko,3814,1721,45.12,Vilniaus miesto,470
Pramonės,1368,503,36.77,Vilniaus miesto,471
Avižienių,2290,1270,55.46,Vilniaus rajono,1
Riešės,1831,1117,61.0,Vilniaus rajono,2
Buivydžių,1019,735,72.13,Vilniaus rajono,3
Buivydiškių,3866,2382,61.61,Vilniaus rajono,4
Platiniškių,743,407,54.78,Vilniaus rajono,5
Čekoniškių,985,583,59.19,Vilniaus rajono,6
Bezdonių,2119,1033,48.75,Vilniaus rajono,7
Baltosios Vokės,1364,543,39.81,Vilniaus rajono,8
Pagirių,3295,1604,48.68,Vilniaus rajono,9
Keturiasdešimties Totorių,1092,454,41.58,Vilniaus rajono,10
Grigaičių,1331,774,58.15,Vilniaus rajono,11
Kyviškių,1170,630,53.85,Vilniaus rajono,12
Dūkštų,837,550,65.71,Vilniaus rajono,13
Geisiškių,653,483,73.97,Vilniaus rajono,14
Pakenės,888,546,61.49,Vilniaus rajono,15
Kalvelių,1744,917,52.58,Vilniaus rajono,16
Šumsko,1319,742,56.25,Vilniaus rajono,17
Mostiškių,863,498,57.71,Vilniaus rajono,18
Lavoriškių,1299,735,56.58,Vilniaus rajono,19
Maišiagalos,1615,881,54.55,Vilniaus rajono,20
Karvio,854,526,61.59,Vilniaus rajono,21
Marijampolio,1156,673,58.22,Vilniaus rajono,22
Parudaminio,886,440,49.66,Vilniaus rajono,23
Mickūnų,2849,1464,51.39,Vilniaus rajono,24
Galgių,1493,866,58.0,Vilniaus rajono,25
Medininkų,1070,634,59.25,Vilniaus rajono,26
Nemėžio,3527,1539,43.63,Vilniaus rajono,27
Skaidiškių,3919,1486,37.92,Vilniaus rajono,28
Kabiškių,883,446,50.51,Vilniaus rajono,29
Rudausių,802,376,46.88,Vilniaus rajono,30
Eitminiškių,718,399,55.57,Vilniaus rajono,32
Paberžės,1850,780,42.16,Vilniaus rajono,33
Glitiškių,679,316,46.54,Vilniaus rajono,34
Visalaukės,631,331,52.46,Vilniaus rajono,35
Didžiosios Riešės,2915,1833,62.88,Vilniaus rajono,36
Pikeliškių,1630,886,54.36,Vilniaus rajono,37
Rudaminos,3803,1910,50.22,Vilniaus rajono,38
Kalviškių,936,486,51.92,Vilniaus rajono,39
Valčiūnų,1912,900,47.07,Vilniaus rajono,40
Rukainių,1481,909,61.38,Vilniaus rajono,41
Senasalio,373,270,72.39,Vilniaus rajono,42
Savičiūnų,670,422,62.99,Vilniaus rajono,43
Sudervės,2067,1133,54.81,Vilniaus rajono,44
Sužionių,657,393,59.82,Vilniaus rajono,45
Veriškių,599,348,58.1,Vilniaus rajono,46
Skirlėnų,464,325,70.04,Vilniaus rajono,47
Mažųjų Lygainių,398,276,69.35,Vilniaus rajono,48
Juodšilių,2149,1232,57.33,Vilniaus rajono,49
Nemenčinės,2377,1177,49.52,Vilniaus rajono,51
Neries,2110,1116,52.89,Vilniaus rajono,52
Bukiškio,1739,1046,60.15,Vilniaus rajono,53
Kreivalaužių,943,447,47.4,Vilniaus rajono,54
Rakonių,857,504,58.81,Vilniaus rajono,55
Draugystės,1372,586,42.71,Visagino,1
Gerosios Vilties,933,373,39.98,Visagino,2
Sedulinos,1008,352,34.92,Visagino,3
Atgimimo,1157,433,37.42,Visagino,4
Ateities,1308,485,37.08,Visagino,5
Atžalyno,1320,475,35.98,Visagino,6
Orbitos,802,271,33.79,Visagino,7
Kosmoso,991,347,35.02,Visagino,8
Taikos,1091,421,38.59,Visagino,9
Vilties,1133,438,38.66,Visagino,10
Bangos,1158,493,42.57,Visagino,11
Auksinio gaidelio,1088,374,34.38,Visagino,12
Vilties šaltinio,1112,423,38.04,Visagino,13
Gintarėlio,1321,487,36.87,Visagino,14
Ąžuoliuko,1168,344,29.45,Visagino,15
Žiburio,1301,474,36.43,Visagino,16
Antalieptės,583,249,42.71,Zarasų rajono,1
Antazavės,522,278,53.26,Zarasų rajono,2
Šniukštų,336,164,48.81,Zarasų rajono,3
Baibių,462,237,51.3,Zarasų rajono,4
Degučių,392,188,47.96,Zarasų rajono,5
Avilių,341,203,59.53,Zarasų rajono,6
Imbrado,522,242,46.36,Zarasų rajono,7
Biržūnų,254,139,54.72,Zarasų rajono,8
Salako,672,339,50.45,Zarasų rajono,9
Samanių,238,93,39.08,Zarasų rajono,10
Suvieko,383,199,51.96,Zarasų rajono,11
Dimitriškių,546,227,41.58,Zarasų rajono,12
Magučių,459,174,37.91,Zarasų rajono,13
Šaulių,343,119,34.69,Zarasų rajono,14
Štadvilių,572,262,45.8,Zarasų rajono,15
Kimbartiškės,325,176,54.15,Zarasų rajono,16
Smalvų,224,100,44.64,Zarasų rajono,17
Turmanto,644,258,40.06,Zarasų rajono,18
Dusetų,1047,464,44.32,Zarasų rajono,19
Sadūnų,223,99,44.39,Zarasų rajono,20
Užtiltės,1087,558,51.33,Zarasų rajono,21
Zarasų rytų,2837,1308,46.11,Zarasų rajono,22
Zarasų vakarų,1714,766,44.69,Zarasų rajono,23
Zarasų šiaurės,1428,743,52.03,Zarasų rajono,24
