district,eligible,voters,turnout,municipality,APL_NUM
Sodų,2201,1128,51.25,Elektrėnų,3
Versmės,2411,970,40.23,Elektrėnų,4
Ausieniškių,1107,348,31.44,Elektrėnų,5
Balceriškių,1376,442,32.12,Elektrėnų,6
Beižionių,301,151,50.17,Elektrėnų,7
Daugirdiškių,320,131,40.94,Elektrėnų,8
Kazokiškių,425,179,42.12,Elektrėnų,9
Pastrėvio,629,255,40.54,Elektrėnų,10
Semeliškių,732,332,45.36,Elektrėnų,11
Vievio,3886,1611,41.46,Elektrėnų,12
Gilučių,404,223,55.2,Elektrėnų,13
Jagėlonių,301,137,45.51,Elektrėnų,14
Kietaviškių,876,373,42.58,Elektrėnų,15
Antalksnės,271,188,69.37,Ignalinos rajono,1
Bernotų,245,138,56.33,Ignalinos rajono,2
Ceikinių,330,196,59.39,Ignalinos rajono,3
Didžiasalio,1001,428,42.76,Ignalinos rajono,4
Dysnos,350,191,54.57,Ignalinos rajono,5
Dūkšto,1120,482,43.04,Ignalinos rajono,6
Gilūtų,183,111,60.66,Ignalinos rajono,7
Grybėnų,142,62,43.66,Ignalinos rajono,8
Ignalinos Centro,3611,1731,47.94,Ignalinos rajono,9
Ignalinos,1291,644,49.88,Ignalinos rajono,10
Kaniūkų,399,208,52.13,Ignalinos rajono,11
Kazitiškio,541,252,46.58,Ignalinos rajono,12
Kazokinės,745,357,47.92,Ignalinos rajono,13
Linkmenų,641,347,54.13,Ignalinos rajono,14
Mažėnų,255,142,55.69,Ignalinos rajono,15
Meikštų,309,172,55.66,Ignalinos rajono,16
Mielagėnų,354,157,44.35,Ignalinos rajono,17
N.Daugėliškio,486,221,45.47,Ignalinos rajono,18
Rimšės,593,238,40.13,Ignalinos rajono,20
Rubelninkų,158,93,58.86,Ignalinos rajono,21
Strigališkio,693,381,54.98,Ignalinos rajono,22
Šiūlėnų,335,184,54.93,Ignalinos rajono,23
Švedriškės,221,119,53.85,Ignalinos rajono,24
Taujūnų,276,139,50.36,Ignalinos rajono,25
Tverečiaus,546,244,44.69,Ignalinos rajono,26
Vidiškių,1028,433,42.12,Ignalinos rajono,27
Rimkų,2538,1124,44.29,Jonavos rajono,1
Juodmenos,3437,1409,41.0,Jonavos rajono,2
Kregždutės,2488,975,39.19,Jonavos rajono,3
Bibliotekos,2012,1031,51.24,Jonavos rajono,4
Senamiesčio,2235,958,42.86,Jonavos rajono,6
Saulutės,1550,677,43.68,Jonavos rajono,7
Mokyklos,1694,784,46.28,Jonavos rajono,8
Ateities,1745,826,47.34,Jonavos rajono,9
Kalnų,1035,484,46.76,Jonavos rajono,10
Lakštingalų,2003,1047,52.27,Jonavos rajono,11
Lietavos,2410,1057,43.86,Jonavos rajono,12
Baldininkų,1153,480,41.63,Jonavos rajono,13
Ruklos,1451,430,29.63,Jonavos rajono,14
Bukonių,672,232,34.52,Jonavos rajono,15
Liepių,595,186,31.26,Jonavos rajono,16
Batėgalos,540,183,33.89,Jonavos rajono,17
Čičinų,797,304,38.14,Jonavos rajono,18
Kulvos,562,220,39.15,Jonavos rajono,19
Juškonių,380,176,46.32,Jonavos rajono,20
Kuigalių,448,128,28.57,Jonavos rajono,21
Žeimių,930,363,39.03,Jonavos rajono,22
Panoterių,516,199,38.57,Jonavos rajono,23
Šilų,1015,355,34.98,Jonavos rajono,24
Upninkų,1161,413,35.57,Jonavos rajono,25
Užusalių,1980,725,36.62,Jonavos rajono,26
Šveicarijos,1845,696,37.72,Jonavos rajono,27
Žemaičių,2936,1334,45.44,Joniškio rajono,1
Livonijos,3406,1510,44.33,Joniškio rajono,2
V.Kudirkos,2588,1127,43.55,Joniškio rajono,3
Žagarės,2064,744,36.05,Joniškio rajono,4
Bariūnų,734,278,37.87,Joniškio rajono,5
Darginių,250,76,30.4,Joniškio rajono,6
Daunoriškės,343,121,35.28,Joniškio rajono,7
Daukšių,378,169,44.71,Joniškio rajono,8
Gaižaičių,423,172,40.66,Joniškio rajono,9
Gasčiūnų,440,196,44.55,Joniškio rajono,10
Gataučių,567,204,35.98,Joniškio rajono,11
Kalnelio,604,238,39.4,Joniškio rajono,12
Plikiškių,406,158,38.92,Joniškio rajono,13
Kepalių,417,165,39.57,Joniškio rajono,14
Kirnaičių,361,207,57.34,Joniškio rajono,15
Kriukų,467,175,37.47,Joniškio rajono,16
Linkaičių,344,143,41.57,Joniškio rajono,17
Maldenių,394,171,43.4,Joniškio rajono,18
Mindaugių,309,108,34.95,Joniškio rajono,19
Rudiškių,673,229,34.03,Joniškio rajono,20
Satkūnų,366,134,36.61,Joniškio rajono,21
Skaistgirio,1290,561,43.49,Joniškio rajono,22
Stungių,339,139,41.0,Joniškio rajono,23
Stupurų,346,119,34.39,Joniškio rajono,24
Bučiūnų,174,92,52.87,Joniškio rajono,25
Lieporų,180,81,45.0,Joniškio rajono,26
Blauzdžiūnų,127,73,57.48,Joniškio rajono,27
Jakiškių,233,85,36.48,Joniškio rajono,28
Jauniūnų,259,120,46.33,Joniškio rajono,29
Maželių,133,68,51.13,Joniškio rajono,30
Mekių,196,85,43.37,Joniškio rajono,31
Skilvionių,153,72,47.06,Joniškio rajono,32
Ziniūnų,294,121,41.16,Joniškio rajono,33
Jurdaičių,452,139,30.75,Joniškio rajono,34
Viešvilės,931,376,40.39,Jurbarko rajono,1
Smalininkų,1215,531,43.7,Jurbarko rajono,2
Jurbarkų,1501,571,38.04,Jurbarko rajono,3
Rotulių,584,294,50.34,Jurbarko rajono,4
Žindaičių,599,194,32.39,Jurbarko rajono,5
Eržvilko,571,251,43.96,Jurbarko rajono,6
Pašaltuonio,358,161,44.97,Jurbarko rajono,7
Lybiškių,536,278,51.87,Jurbarko rajono,8
Kartupių,412,180,43.69,Jurbarko rajono,9
Rutkiškių,335,115,34.33,Jurbarko rajono,10
Pavidaujo,349,134,38.4,Jurbarko rajono,11
Girdžių,712,291,40.87,Jurbarko rajono,12
Vadžgirio,732,256,34.97,Jurbarko rajono,13
Šimkaičių,361,142,39.34,Jurbarko rajono,14
Paulių,312,135,43.27,Jurbarko rajono,15
Volungiškės,259,130,50.19,Jurbarko rajono,16
Juodaičių,376,179,47.61,Jurbarko rajono,17
Armeniškių,361,191,52.91,Jurbarko rajono,18
Seredžiaus,832,386,46.39,Jurbarko rajono,19
Klausučių,893,354,39.64,Jurbarko rajono,20
Gricių,183,95,51.91,Jurbarko rajono,21
Tamošių,366,175,47.81,Jurbarko rajono,22
Veliuonos,907,452,49.83,Jurbarko rajono,23
Stakių,270,102,37.78,Jurbarko rajono,24
Raudonės,901,358,39.73,Jurbarko rajono,25
Pilies,624,275,44.07,Jurbarko rajono,26
Skirsnemunės,1097,431,39.29,Jurbarko rajono,27
Dariaus ir Girėno,2546,1191,46.78,Jurbarko rajono,28
Vydūno,2622,1145,43.67,Jurbarko rajono,29
Vytauto Didžiojo,1956,947,48.42,Jurbarko rajono,30
Naujamiesčio,2392,989,41.35,Jurbarko rajono,31
Vytauto,1072,453,42.26,Kaišiadorių rajono,1
Gedimino,1511,712,47.12,Kaišiadorių rajono,2
Girelės,2651,1186,44.74,Kaišiadorių rajono,3
Lomenos,2117,979,46.24,Kaišiadorių rajono,4
Kruonio,1117,389,34.83,Kaišiadorių rajono,5
Kalvių,544,250,45.96,Kaišiadorių rajono,6
Vilūnų,488,204,41.8,Kaišiadorių rajono,7
Darsūniškio,466,208,44.64,Kaišiadorių rajono,8
Ringailių,424,214,50.47,Kaišiadorių rajono,9
Stoniavos,808,350,43.32,Kaišiadorių rajono,12
Dainių,529,222,41.97,Kaišiadorių rajono,13
Stasiūnų,951,399,41.96,Kaišiadorių rajono,14
Melioratorių,1001,373,37.26,Kaišiadorių rajono,15
Žiežmarių,1688,747,44.25,Kaišiadorių rajono,16
Gudienos,1897,782,41.22,Kaišiadorių rajono,17
Žaslių,810,355,43.83,Kaišiadorių rajono,18
Pajautiškių,490,205,41.84,Kaišiadorių rajono,19
Stabintiškių,606,236,38.94,Kaišiadorių rajono,20
Beištrakių,156,50,32.05,Kaišiadorių rajono,21
Tauckūnų,500,194,38.8,Kaišiadorių rajono,22
Palomenės,733,297,40.52,Kaišiadorių rajono,23
Zūbiškių,391,193,49.36,Kaišiadorių rajono,24
Paparčių,658,259,39.36,Kaišiadorių rajono,25
Rumšiškių,2003,950,47.43,Kaišiadorių rajono,26
Pravieniškių,2218,858,38.68,Kaišiadorių rajono,27
Dovainonių,800,395,49.38,Kaišiadorių rajono,28
Antakalnio,640,280,43.75,Kaišiadorių rajono,29
Mūro Strėvininkų,494,215,43.52,Kaišiadorių rajono,30
Liutonių,348,171,49.14,Kaišiadorių rajono,31
Kalvarijos Vakarinė,1791,715,39.92,Kalvarijos,1
Kalvarijos Rytinė,1836,691,37.64,Kalvarijos,2
Jungėnų,1158,382,32.99,Kalvarijos,3
Brukų,357,129,36.13,Kalvarijos,4
Sūsninkų,267,112,41.95,Kalvarijos,5
Mockų,316,136,43.04,Kalvarijos,6
Jusevičių,693,265,38.24,Kalvarijos,7
Sangrūdos,506,243,48.02,Kalvarijos,8
Radiškės,347,162,46.69,Kalvarijos,9
Salaperaugio,330,150,45.45,Kalvarijos,10
Liubavo,339,146,43.07,Kalvarijos,11
Brazavo,280,111,39.64,Kalvarijos,12
Jurgežerių,312,124,39.74,Kalvarijos,13
Tarprubežių,344,130,37.79,Kalvarijos,14
Akmenynų,318,127,39.94,Kalvarijos,15
Kampinių,338,121,35.8,Kalvarijos,16
Aistiškių,333,152,45.65,Kalvarijos,17
Sargėnų,4125,2127,51.56,Kauno miesto,2
Vėtrungės,3407,1809,53.1,Kauno miesto,3
Rasytės,3190,1672,52.41,Kauno miesto,4
Šarkuvos,4484,2194,48.93,Kauno miesto,5
Žemaičių,4107,1960,47.72,Kauno miesto,7
Baltų,3956,1941,49.06,Kauno miesto,8
Baltijos,3835,1937,50.51,Kauno miesto,9
Žiemgalių,4600,2175,47.28,Kauno miesto,10
Milikonių,2374,1187,50.0,Kauno miesto,11
Demokratų,2170,1148,52.9,Kauno miesto,12
Linkuvos,2822,1422,50.39,Kauno miesto,13
Sąjungos,3261,1588,48.7,Kauno miesto,15
Dobilo,3200,1408,44.0,Kauno miesto,16
Apuolės,1063,564,53.06,Kauno miesto,18
Seredžiaus,1448,555,38.33,Kauno miesto,19
Veršvų,4355,1890,43.4,Kauno miesto,21
Žagarės,1702,725,42.6,Kauno miesto,22
Lampėdžių,579,328,56.65,Kauno miesto,23
Kaniūkų,2706,1414,52.25,Kauno miesto,24
H. ir O Minkovskių,901,359,39.84,Kauno miesto,26
J. Dobkevičiaus,4657,2003,43.01,Kauno miesto,27
Veiverių,1804,837,46.4,Kauno miesto,28
Birutės,2935,1520,51.79,Kauno miesto,29
Julijanavos,2155,1045,48.49,Kauno miesto,30
Piliakalnio,1809,965,53.34,Kauno miesto,31
Tekstilininkų,1812,937,51.71,Kauno miesto,33
Maironio,1789,906,50.64,Kauno miesto,36
A. Mackevičiaus,1164,585,50.26,Kauno miesto,37
Varpo,1267,736,58.09,Kauno miesto,38
Ryšių,2385,1398,58.62,Kauno miesto,39
Radvilėnų,2275,1272,55.91,Kauno miesto,40
J. Jablonskio,1712,1031,60.22,Kauno miesto,42
Aušros,2822,1599,56.66,Kauno miesto,43
Senojo tresto,2866,1547,53.98,Kauno miesto,45
Sporto,815,471,57.79,Kauno miesto,47
Miško,3055,1628,53.29,Kauno miesto,49
Jonavos,1481,719,48.55,Kauno miesto,50
L. Karsavino,3611,1964,54.39,Kauno miesto,52
Algirdo,2875,1545,53.74,Kauno miesto,54
Purienų,3624,1773,48.92,Kauno miesto,56
Žeimenos,4448,2353,52.9,Kauno miesto,58
Versmės,3073,1525,49.63,Kauno miesto,60
Gerovės,3785,1848,48.82,Kauno miesto,61
M. Jankaus,2608,1452,55.67,Kauno miesto,62
S. Nėries,1994,1149,57.62,Kauno miesto,63
Aukuro,3360,1740,51.79,Kauno miesto,64
Vaidilutės,1675,860,51.34,Kauno miesto,65
Šiaurės,3530,1717,48.64,Kauno miesto,66
S. Žukausko,3722,1835,49.3,Kauno miesto,67
Statybininkų,3837,1964,51.19,Kauno miesto,68
Rasos,2005,1022,50.97,Kauno miesto,69
P. Plechavičiaus,3868,2007,51.89,Kauno miesto,70
K. Škirpos,3875,1882,48.57,Kauno miesto,71
P. Lukšio,3938,2055,52.18,Kauno miesto,72
Buitininkų,4008,1948,48.6,Kauno miesto,77
Partizanų,3360,1743,51.88,Kauno miesto,78
Pramonės,2498,1031,41.27,Kauno miesto,79
Dainavos,3268,1668,51.04,Kauno miesto,80
J. Urbšio,2409,1196,49.65,Kauno miesto,81
Sartų,2785,1420,50.99,Kauno miesto,82
A. Timinskio,2609,1240,47.53,Kauno miesto,83
Nepriklausomybės,2159,1076,49.84,Kauno miesto,84
Vytauto,3404,1591,46.74,Kauno miesto,85
Atžalyno,3548,1764,49.72,Kauno miesto,86
V. Krėvės,2347,1178,50.19,Kauno miesto,88
Specialistų,2704,1241,45.89,Kauno miesto,89
Taikos,2336,1201,51.41,Kauno miesto,91
Vyturio,2385,1211,50.78,Kauno miesto,92
Butrimonių,2258,1141,50.53,Kauno miesto,93
Studentų,2860,1457,50.94,Kauno miesto,94
Dujotiekio,3065,1483,48.38,Kauno miesto,96
Girstučio,2133,1062,49.79,Kauno miesto,97
Pašilės,3157,1643,52.04,Kauno miesto,98
Knygnešių,2623,1250,47.66,Kauno miesto,99
Palemono,3766,1461,38.79,Kauno miesto,101
Sodų,3639,1542,42.37,Kauno miesto,105
Šančių,2253,981,43.54,Kauno miesto,106
Drobės,2399,1084,45.19,Kauno miesto,107
Skuodo,2171,1060,48.83,Kauno miesto,108
Žiburio,3503,1842,52.58,Kauno miesto,109
Breslaujos,3508,1727,49.23,Kauno miesto,110
Nemuno,2034,990,48.67,Kauno miesto,111
Šilo,3171,1440,45.41,Kauno miesto,114
Buriuotojų,4424,1941,43.87,Kauno miesto,116
Vaidoto,2621,1125,42.92,Kauno miesto,117
Pušų,2664,1209,45.38,Kauno miesto,118
Vičiūnų,2069,1101,53.21,Kauno miesto,120
Ąžuolo,3535,1747,49.42,Kauno miesto,121
Rokų,2737,1307,47.75,Kauno miesto,122
Vaišvydavos,2306,1273,55.2,Kauno miesto,123
Kazliškių,1107,610,55.1,Kauno miesto,125
Tirkiliškių,2254,1208,53.59,Kauno miesto,126
Romainių,2900,1601,55.21,Kauno miesto,127
Mastaičių,1414,751,53.11,Kauno rajono,1
Pažėrų,723,289,39.97,Kauno rajono,2
Babtų,1466,718,48.98,Kauno rajono,4
Pagynės,726,305,42.01,Kauno rajono,5
Panevėžiuko,1056,380,35.98,Kauno rajono,6
Čekiškės,911,475,52.14,Kauno rajono,7
Liučiūnų,655,296,45.19,Kauno rajono,8
Domeikavos,1927,1034,53.66,Kauno rajono,9
Neries,2025,1010,49.88,Kauno rajono,10
Voškonių,830,355,42.77,Kauno rajono,11
Lapių,2667,1179,44.21,Kauno rajono,12
Juragių,749,318,42.46,Kauno rajono,13
Ilgakiemio,1169,589,50.38,Kauno rajono,14
Teleičių,2927,1562,53.37,Kauno rajono,15
Karmėlavos,2724,1133,41.59,Kauno rajono,16
Ramučių,2786,1478,53.05,Kauno rajono,17
Neveronių,2718,1213,44.63,Kauno rajono,18
Universiteto,1420,848,59.72,Kauno rajono,19
Akademijos,1493,989,66.24,Kauno rajono,20
Ringaudų,3398,1866,54.91,Kauno rajono,21
Raudondvario,2437,1289,52.89,Kauno rajono,23
Batniavos,1117,555,49.69,Kauno rajono,24
Nemuno,895,382,42.68,Kauno rajono,26
Šlienavos,1903,781,41.04,Kauno rajono,28
Girionių,2016,909,45.09,Kauno rajono,29
Taurakiemio,1565,730,46.65,Kauno rajono,30
Užliedžių,2421,1293,53.41,Kauno rajono,33
Vandžiogalos,1401,498,35.55,Kauno rajono,34
Padauguvos,361,177,49.03,Kauno rajono,35
Saulėtekių,685,271,39.56,Kauno rajono,36
Daugėliškių,463,207,44.71,Kauno rajono,37
Zapyškio,1493,687,46.01,Kauno rajono,38
Altoniškių,748,276,36.9,Kauno rajono,39
Ežerėlio,1482,657,44.33,Kauno rajono,40
Garliavos,1867,927,49.65,Kauno rajono,41
Liepų,2030,1030,50.74,Kauno rajono,42
Jonučių,1540,773,50.19,Kauno rajono,43
Kačerginės,659,410,62.22,Kauno rajono,44
Kulautuvos,1298,814,62.71,Kauno rajono,45
Vilkijos,1317,592,44.95,Kauno rajono,46
Linksmakalnio,564,267,47.34,Kauno rajono,47
Žalgirio,2206,1175,53.26,Kauno rajono,48
Meno mokyklos,1746,831,47.59,Kauno rajono,49
Mokyklos,992,471,47.48,Kauno rajono,50
Saulės,1568,863,55.04,Kauno rajono,51
Bibliotekos,1653,831,50.27,Kauno rajono,52
S. Lozoraičio,1931,850,44.02,Kauno rajono,53
Muniškių,1054,482,45.73,Kauno rajono,54
Kazlų Rūdos,1235,559,45.26,Kazlų Rūdos,1
Pušų,2011,857,42.62,Kazlų Rūdos,2
Mindaugo,1487,669,44.99,Kazlų Rūdos,3
Liepų,549,248,45.17,Kazlų Rūdos,4
Bagotosios,526,189,35.93,Kazlų Rūdos,5
Antanavo,629,231,36.72,Kazlų Rūdos,6
Višakio Rūdos,392,169,43.11,Kazlų Rūdos,7
Jūrės,611,255,41.73,Kazlų Rūdos,8
Jūrės,400,172,43.0,Kazlų Rūdos,9
Plutiškių,562,196,34.88,Kazlų Rūdos,10
Ąžuolų Būdos,915,348,38.03,Kazlų Rūdos,11
Bebruliškės,410,131,31.95,Kazlų Rūdos,12
Būdos,390,154,39.49,Kazlų Rūdos,13
Jankų,603,271,44.94,Kazlų Rūdos,14
Budraičių,355,151,42.54,Kelmės rajono,1
Butkiškės,253,123,48.62,Kelmės rajono,2
Dubėnų,368,144,39.13,Kelmės rajono,3
Gailių,373,127,34.05,Kelmės rajono,4
Janaučių,659,215,32.63,Kelmės rajono,6
Junkilų,445,184,41.35,Kelmės rajono,7
Karklėnų,492,196,39.84,Kelmės rajono,8
Centro,3014,1288,42.73,Kelmės rajono,9
A.Mackevičiaus,3106,1233,39.7,Kelmės rajono,10
Kalno,2150,924,42.98,Kelmės rajono,11
Kiaunorių,267,109,40.82,Kelmės rajono,12
Kolainių,400,173,43.25,Kelmės rajono,13
Kražių,898,446,49.67,Kelmės rajono,14
Kukečių,838,332,39.62,Kelmės rajono,15
Laugalio,258,125,48.45,Kelmės rajono,16
Liolių,800,331,41.38,Kelmės rajono,17
Lupikų,606,254,41.91,Kelmės rajono,18
Maironių,555,186,33.51,Kelmės rajono,19
Minupių,303,136,44.88,Kelmės rajono,20
Mockaičių,344,190,55.23,Kelmės rajono,21
Pagryžuvio,839,395,47.08,Kelmės rajono,22
Pakėvio,320,157,49.06,Kelmės rajono,23
Pakražančio,707,251,35.5,Kelmės rajono,24
Pašiaušės,189,102,53.97,Kelmės rajono,25
Pašilėnų,338,162,47.93,Kelmės rajono,26
Pašilės,306,127,41.5,Kelmės rajono,27
Pavėžupio,257,102,39.69,Kelmės rajono,28
Petrališkės,425,203,47.76,Kelmės rajono,29
Stulgių,372,171,45.97,Kelmės rajono,30
Šaltenių,363,173,47.66,Kelmės rajono,31
Šaukėnų,1005,376,37.41,Kelmės rajono,32
Šedbarų,357,147,41.18,Kelmės rajono,33
Durpyno,990,440,44.44,Kelmės rajono,34
Tytuvėnų,1310,632,48.24,Kelmės rajono,35
Užvenčio,1297,535,41.25,Kelmės rajono,36
Vaiguvos,496,194,39.11,Kelmės rajono,37
Valpainių,365,155,42.47,Kelmės rajono,38
Verpenos,556,211,37.95,Kelmės rajono,39
Vidsodžio,475,145,30.53,Kelmės rajono,40
Žalpių,324,144,44.44,Kelmės rajono,41
Angirių,176,83,47.16,Kėdainių rajono,1
Aristavos,619,256,41.36,Kėdainių rajono,2
Ažytėnų,382,165,43.19,Kėdainių rajono,3
Babėnų,2401,1119,46.61,Kėdainių rajono,4
Beinaičių,369,169,45.8,Kėdainių rajono,5
Vikaičių,477,186,38.99,Kėdainių rajono,6
Dotnuvos,1212,530,43.73,Kėdainių rajono,7
Gudžiūnų,513,260,50.68,Kėdainių rajono,8
Josvainių,1523,719,47.21,Kėdainių rajono,9
Kalnaberžės,405,248,61.23,Kėdainių rajono,10
Kaplių,256,149,58.2,Kėdainių rajono,11
Keleriškių,826,299,36.2,Kėdainių rajono,12
Krakių,894,379,42.39,Kėdainių rajono,13
Kunionių,537,217,40.41,Kėdainių rajono,14
Labūnavos,785,348,44.33,Kėdainių rajono,15
Lančiūnavos,609,247,40.56,Kėdainių rajono,16
Langakių,339,191,56.34,Kėdainių rajono,17
Liaudies,3311,1450,43.79,Kėdainių rajono,18
Mantviliškio,337,164,48.66,Kėdainių rajono,19
Medėkšių,455,186,40.88,Kėdainių rajono,20
Meironiškio,378,184,48.68,Kėdainių rajono,21
Naujoji,1886,935,49.58,Kėdainių rajono,22
Miegėnų,468,200,42.74,Kėdainių rajono,23
Nociūnų,393,180,45.8,Kėdainių rajono,24
Okainių,369,134,36.31,Kėdainių rajono,25
Paaluonio,255,121,47.45,Kėdainių rajono,26
Pagirių,477,225,47.17,Kėdainių rajono,27
Pajieslio,474,194,40.93,Kėdainių rajono,28
Parko,1083,452,41.74,Kėdainių rajono,29
Pašušvio,403,155,38.46,Kėdainių rajono,30
Pelėdnagių,1044,503,48.18,Kėdainių rajono,31
Pelutavos,323,162,50.15,Kėdainių rajono,32
Pergalės,2439,1100,45.1,Kėdainių rajono,33
Pernaravos,375,131,34.93,Kėdainių rajono,34
Petkūnų,204,102,50.0,Kėdainių rajono,35
Radvilų,2178,1026,47.11,Kėdainių rajono,36
Saviečių,212,99,46.7,Kėdainių rajono,37
Senamiesčio,1097,536,48.86,Kėdainių rajono,38
Sirutiškio,390,159,40.77,Kėdainių rajono,39
Skaistgirių,277,129,46.57,Kėdainių rajono,40
Smilgos,1621,863,53.24,Kėdainių rajono,41
Statybininkų,1165,389,33.39,Kėdainių rajono,42
Surviliškio,528,229,43.37,Kėdainių rajono,43
Šėtos,993,457,46.02,Kėdainių rajono,44
Šlapaberžės,594,264,44.44,Kėdainių rajono,45
Taikos,2320,1111,47.89,Kėdainių rajono,46
Tiskūnų,719,284,39.5,Kėdainių rajono,47
Truskavos,488,251,51.43,Kėdainių rajono,48
Vainikų,400,143,35.75,Kėdainių rajono,49
Vilainių,1164,623,53.52,Kėdainių rajono,50
Žemaitės,1920,820,42.71,Kėdainių rajono,51
Akademijos,619,371,59.94,Kėdainių rajono,52
Beržų,344,158,45.93,Kėdainių rajono,53
Dotnuvėlės,945,425,44.97,Kėdainių rajono,54
Gimnazijos,3832,2151,56.13,Klaipėdos miesto,1
Danės,1104,608,55.07,Klaipėdos miesto,4
Eglės,1700,841,49.47,Klaipėdos miesto,5
Dviračių Treko,2647,1400,52.89,Klaipėdos miesto,6
Kretingos,2021,1036,51.26,Klaipėdos miesto,7
Šviesos,2496,1261,50.52,Klaipėdos miesto,8
Muzikos Centro,1130,610,53.98,Klaipėdos miesto,9
Žaliakalnio,1068,541,50.66,Klaipėdos miesto,10
Saulutės,3905,1402,35.9,Klaipėdos miesto,11
Strėvos,3225,1264,39.19,Klaipėdos miesto,13
Sulupės,2741,1185,43.23,Klaipėdos miesto,14
Tauralaukio,2120,1070,50.47,Klaipėdos miesto,15
Baltikalnio,1348,650,48.22,Klaipėdos miesto,16
Saulėtekio,1992,913,45.83,Klaipėdos miesto,17
Šatrijos,1274,595,46.7,Klaipėdos miesto,18
Vilties,1768,840,47.51,Klaipėdos miesto,19
Pingvinuko,1676,713,42.54,Klaipėdos miesto,20
Klaipėdos Vandens,3975,1769,44.5,Klaipėdos miesto,21
Rumpiškių,1553,719,46.3,Klaipėdos miesto,22
Aitvaro,2888,1362,47.16,Klaipėdos miesto,23
Šilojų,3089,1685,54.55,Klaipėdos miesto,25
Brigantinos,1904,822,43.17,Klaipėdos miesto,26
Draugystės,3131,1420,45.35,Klaipėdos miesto,27
Švyturio,1908,907,47.54,Klaipėdos miesto,29
Olimpijos,1752,743,42.41,Klaipėdos miesto,30
Dainavos,3039,1399,46.03,Klaipėdos miesto,32
Aušros,1167,556,47.64,Klaipėdos miesto,33
Nykštuko,2109,1035,49.08,Klaipėdos miesto,35
Debreceno,2497,994,39.81,Klaipėdos miesto,36
Gedminų,2611,1275,48.83,Klaipėdos miesto,37
Vėtrungės,2248,1058,47.06,Klaipėdos miesto,38
Žilvičio,1605,773,48.16,Klaipėdos miesto,39
Pamario,3895,1701,43.67,Klaipėdos miesto,40
Rambyno,2633,1158,43.98,Klaipėdos miesto,43
Menų mokyklos,1970,969,49.19,Klaipėdos miesto,45
Versmės,3806,1734,45.56,Klaipėdos miesto,47
Vakarų,3974,1745,43.91,Klaipėdos miesto,48
Aukuro,3310,1544,46.65,Klaipėdos miesto,49
Smiltelės,3624,1767,48.76,Klaipėdos miesto,50
Alksnynės,3770,1695,44.96,Klaipėdos miesto,51
Baltijos,1367,557,40.75,Klaipėdos miesto,52
Želmenėlio,3234,1388,42.92,Klaipėdos miesto,54
Brožynų,3611,1434,39.71,Klaipėdos miesto,55
Laukininkai,4062,1771,43.6,Klaipėdos miesto,56
Budelkiemio,3724,1469,39.45,Klaipėdos miesto,57
Berželio,3868,1618,41.83,Klaipėdos miesto,58
Girulių,522,307,58.81,Klaipėdos miesto,59
Molo,1044,487,46.65,Klaipėdos miesto,60
Jūreivių,498,484,97.19,Klaipėdos miesto,62
Prekybos uosto,2855,1302,45.6,Klaipėdos miesto,63
S.Daukanto,951,459,48.26,Klaipėdos miesto,64
Kuršių,1585,795,50.16,Klaipėdos miesto,65
Politechnikos,1450,683,47.1,Klaipėdos miesto,66
Volungėlės,2304,997,43.27,Klaipėdos miesto,67
Bandužių,3991,1604,40.19,Klaipėdos miesto,68
Gargždų,3167,1573,49.67,Klaipėdos rajono,1
Gargždų,3877,1998,51.53,Klaipėdos rajono,2
Gargždų,1839,881,47.91,Klaipėdos rajono,3
Gargždų,3900,1882,48.26,Klaipėdos rajono,4
Endriejavo,1182,544,46.02,Klaipėdos rajono,5
Judrėnų,588,261,44.39,Klaipėdos rajono,6
Žadeikių,289,137,47.4,Klaipėdos rajono,7
Daukšaičių,355,165,46.48,Klaipėdos rajono,8
Pėžaičių,598,271,45.32,Klaipėdos rajono,9
Šalpėnų,390,200,51.28,Klaipėdos rajono,10
Veiviržėnų,1253,609,48.6,Klaipėdos rajono,11
Girininkų,503,195,38.77,Klaipėdos rajono,12
Lapių,604,282,46.69,Klaipėdos rajono,13
Tilvikų,223,106,47.53,Klaipėdos rajono,14
Vėžaičių,2424,1080,44.55,Klaipėdos rajono,15
Priekulės,2274,1014,44.59,Klaipėdos rajono,16
Agluonėnų,1044,463,44.35,Klaipėdos rajono,17
Dovilų,2411,907,37.62,Klaipėdos rajono,18
Ketvergių,1439,524,36.41,Klaipėdos rajono,19
Šiūparių,647,271,41.89,Klaipėdos rajono,20
Dauparų,1234,604,48.95,Klaipėdos rajono,21
Kvietinių,702,354,50.43,Klaipėdos rajono,22
Girkalių,588,240,40.82,Klaipėdos rajono,23
Kretingalės,1207,488,40.43,Klaipėdos rajono,24
Plikių,852,374,43.9,Klaipėdos rajono,25
Drevernos,624,282,45.19,Klaipėdos rajono,26
Kalotės,1417,702,49.54,Klaipėdos rajono,27
Venckų,616,270,43.83,Klaipėdos rajono,28
Jakų,1036,523,50.48,Klaipėdos rajono,29
Slengių,3234,1483,45.86,Klaipėdos rajono,30
Dituvos,2310,697,30.17,Klaipėdos rajono,31
Parko,1012,540,53.36,Kretingos rajono,1
M.Daujoto,3046,1529,50.2,Kretingos rajono,2
J.Pabrėžos,3596,1613,44.86,Kretingos rajono,3
Vytauto,2378,1093,45.96,Kretingos rajono,4
