commune,voters,eligible,turnout,district,region
Počúvadlo,23.0,80.0,28.75,Žiar nad Hronom,Banskobystrický
Podhorie,75.0,290.0,25.86,Žiar nad Hronom,Banskobystrický
Prenčov,77.0,549.0,14.02,Žiar nad Hronom,Banskobystrický
Prestavlky,99.0,540.0,18.33,Žiar nad Hronom,Banskobystrický
Prochot,87.0,498.0,17.46,Žiar nad Hronom,Banskobystrický
Repište,46.0,264.0,17.42,Žiar nad Hronom,Banskobystrický
Rudno nad Hronom,56.0,428.0,13.08,Žiar nad Hronom,Banskobystrický
Sklené Teplice,82.0,378.0,21.69,Žiar nad Hronom,Banskobystrický
Slaská,55.0,401.0,13.96,Žiar nad Hronom,Banskobystrický
Stará Kremnička,108.0,889.0,12.14,Žiar nad Hronom,Banskobystrický
Štiavnické Bane,100.0,708.0,14.12,Žiar nad Hronom,Banskobystrický
Svätý Anton,113.0,962.0,11.74,Žiar nad Hronom,Banskobystrický
Tekovská Breznica,103.0,1045.0,9.85,Žiar nad Hronom,Banskobystrický
Trnavá Hora,95.0,944.0,10.06,Žiar nad Hronom,Banskobystrický
Veľká Lehota,95.0,956.0,9.93,Žiar nad Hronom,Banskobystrický
Veľké Pole,37.0,295.0,12.54,Žiar nad Hronom,Banskobystrický
Voznica,52.0,529.0,9.82,Žiar nad Hronom,Banskobystrický
Vyhne,125.0,1039.0,12.03,Žiar nad Hronom,Banskobystrický
Vysoká,33.0,111.0,29.72,Žiar nad Hronom,Banskobystrický
Žarnovica,735.0,5060.0,14.52,Žiar nad Hronom,Banskobystrický
Žiar nad Hronom,1853.0,15590.0,11.89,Žiar nad Hronom,Banskobystrický
Župkov,64.0,702.0,9.11,Žiar nad Hronom,Banskobystrický
Abrahámovce,33.0,288.0,11.45,Bardejov,Prešovský
Andrejová,37.0,266.0,13.9,Bardejov,Prešovský
Bardejov,3025.0,25974.0,11.65,Bardejov,Prešovský
Bartošovce,57.0,584.0,9.76,Bardejov,Prešovský
Becherov,36.0,218.0,16.51,Bardejov,Prešovský
Beloveža,44.0,660.0,6.66,Bardejov,Prešovský
Bogliarka,28.0,110.0,25.45,Bardejov,Prešovský
Brezov,44.0,322.0,13.66,Bardejov,Prešovský
Brezovka,28.0,96.0,29.16,Bardejov,Prešovský
Buclovany,33.0,186.0,17.74,Bardejov,Prešovský
Chmeľová,52.0,321.0,16.19,Bardejov,Prešovský
Cigeľka,20.0,298.0,6.71,Bardejov,Prešovský
Dubinné,81.0,286.0,28.67,Bardejov,Prešovský
Frička,19.0,195.0,9.74,Bardejov,Prešovský
Fričkovce,75.0,567.0,13.22,Bardejov,Prešovský
Gaboltov,64.0,426.0,15.02,Bardejov,Prešovský
Gerlachov,60.0,757.0,7.92,Bardejov,Prešovský
Hankovce,50.0,329.0,15.19,Bardejov,Prešovský
Harhaj,51.0,193.0,26.42,Bardejov,Prešovský
Hažlín,229.0,953.0,24.02,Bardejov,Prešovský
Hertník,124.0,787.0,15.75,Bardejov,Prešovský
Hervartov,77.0,406.0,18.96,Bardejov,Prešovský
Hrabovec,37.0,409.0,9.04,Bardejov,Prešovský
Hrabské,103.0,429.0,24.0,Bardejov,Prešovský
Hutka,32.0,81.0,39.5,Bardejov,Prešovský
Janovce,68.0,341.0,19.94,Bardejov,Prešovský
Jedlinka,20.0,71.0,28.16,Bardejov,Prešovský
Kľušov,188.0,833.0,22.56,Bardejov,Prešovský
Kobyly,154.0,674.0,22.84,Bardejov,Prešovský
Kochanovce,35.0,192.0,18.75,Bardejov,Prešovský
Komárov,47.0,350.0,13.42,Bardejov,Prešovský
Koprivnica,76.0,544.0,13.97,Bardejov,Prešovský
Kožany,13.0,100.0,13.0,Bardejov,Prešovský
Krivé,25.0,175.0,14.28,Bardejov,Prešovský
Kríže,15.0,76.0,19.73,Bardejov,Prešovský
Kružlov,84.0,806.0,10.54,Bardejov,Prešovský
Kučín,63.0,266.0,23.68,Bardejov,Prešovský
Kurima,121.0,854.0,14.16,Bardejov,Prešovský
Kurov,90.0,405.0,22.22,Bardejov,Prešovský
Lascov,36.0,415.0,8.67,Bardejov,Prešovský
Lenartov,63.0,655.0,9.61,Bardejov,Prešovský
Lipová,19.0,71.0,26.76,Bardejov,Prešovský
Livov,19.0,83.0,22.89,Bardejov,Prešovský
Livovská Huta,17.0,54.0,31.48,Bardejov,Prešovský
Lopúchov,49.0,258.0,18.99,Bardejov,Prešovský
Lukavica,37.0,314.0,11.78,Bardejov,Prešovský
Lukov,70.0,429.0,16.31,Bardejov,Prešovský
Malcov,89.0,1095.0,8.12,Bardejov,Prešovský
Marhaň,58.0,705.0,8.22,Bardejov,Prešovský
Mikulášová,22.0,119.0,18.48,Bardejov,Prešovský
Mokroluh,91.0,584.0,15.58,Bardejov,Prešovský
Nemcovce,57.0,205.0,27.8,Bardejov,Prešovský
Nižná Polianka,31.0,210.0,14.76,Bardejov,Prešovský
Nižná Voľa,43.0,217.0,19.81,Bardejov,Prešovský
Nižný Tvarožec,42.0,337.0,12.46,Bardejov,Prešovský
Oľšavce,19.0,135.0,14.07,Bardejov,Prešovský
Ondavka,13.0,27.0,48.14,Bardejov,Prešovský
Ortuťová,34.0,149.0,22.81,Bardejov,Prešovský
Osikov,93.0,755.0,12.31,Bardejov,Prešovský
Petrová,36.0,459.0,7.84,Bardejov,Prešovský
Poliakovce,57.0,295.0,19.32,Bardejov,Prešovský
Porúbka,39.0,190.0,20.52,Bardejov,Prešovský
Raslavice,196.0,2044.0,9.58,Bardejov,Prešovský
Regetovka,28.0,35.0,80.0,Bardejov,Prešovský
Rešov,27.0,258.0,10.46,Bardejov,Prešovský
Richvald,77.0,801.0,9.61,Bardejov,Prešovský
Rokytov,49.0,410.0,11.95,Bardejov,Prešovský
Šarišské Čierne,39.0,257.0,15.17,Bardejov,Prešovský
Šašová,36.0,117.0,30.76,Bardejov,Prešovský
Šiba,55.0,452.0,12.16,Bardejov,Prešovský
Smilno,52.0,585.0,8.88,Bardejov,Prešovský
Snakov,59.0,484.0,12.19,Bardejov,Prešovský
Stebnícka Huta,54.0,197.0,27.41,Bardejov,Prešovský
Stebník,38.0,250.0,15.2,Bardejov,Prešovský
Stuľany,70.0,469.0,14.92,Bardejov,Prešovský
Sveržov,71.0,414.0,17.14,Bardejov,Prešovský
Tarnov,65.0,324.0,20.06,Bardejov,Prešovský
Tročany,81.0,248.0,32.66,Bardejov,Prešovský
Vaniškovce,56.0,302.0,18.54,Bardejov,Prešovský
Varadka,30.0,134.0,22.38,Bardejov,Prešovský
Vyšná Polianka,37.0,101.0,36.63,Bardejov,Prešovský
Vyšná Voľa,38.0,324.0,11.72,Bardejov,Prešovský
Vyšný Kručov,30.0,117.0,25.64,Bardejov,Prešovský
Vyšný Tvarožec,34.0,99.0,34.34,Bardejov,Prešovský
Zborov,163.0,2151.0,7.57,Bardejov,Prešovský
Zlaté,56.0,601.0,9.31,Bardejov,Prešovský
Adidovce,62.0,183.0,33.87,Humenné,Prešovský
Baškovce,64.0,323.0,19.81,Humenné,Prešovský
Belá nad Cirochou,146.0,2683.0,5.47,Humenné,Prešovský
Brekov,107.0,1058.0,10.11,Humenné,Prešovský
Brestov,59.0,486.0,12.13,Humenné,Prešovský
Brestov nad Laborcom,15.0,82.0,18.29,Humenné,Prešovský
Brezovec,17.0,38.0,44.73,Humenné,Prešovský
Čabalovce,56.0,285.0,19.64,Humenné,Prešovský
Čabiny,34.0,313.0,10.86,Humenné,Prešovský
Černina,39.0,133.0,29.32,Humenné,Prešovský
Čertižné,55.0,317.0,17.35,Humenné,Prešovský
Chlmec,71.0,464.0,15.3,Humenné,Prešovský
Čukalovce,44.0,147.0,29.93,Humenné,Prešovský
Dedačov,31.0,138.0,22.46,Humenné,Prešovský
Dlhé nad Cirochou,119.0,1580.0,7.59,Humenné,Prešovský
Dúbrava,19.0,145.0,13.1,Humenné,Prešovský
Gruzovce,20.0,108.0,18.51,Humenné,Prešovský
Habura,61.0,443.0,13.99,Humenné,Prešovský
Hankovce,53.0,464.0,11.42,Humenné,Prešovský
Hažín nad Cirochou,67.0,553.0,12.11,Humenné,Prešovský
Hostovice,27.0,257.0,10.5,Humenné,Prešovský
Hrabová Roztoka,8.0,57.0,14.03,Humenné,Prešovský
Hrabovec nad Laborcom,65.0,454.0,14.53,Humenné,Prešovský
Hrubov,50.0,399.0,12.53,Humenné,Prešovský
Hudcovce,53.0,350.0,15.14,Humenné,Prešovský
Humenné,3091.0,27816.0,11.13,Humenné,Prešovský
Jabloň,37.0,299.0,12.37,Humenné,Prešovský
Jalová,6.0,59.0,10.16,Humenné,Prešovský
Jankovce,30.0,232.0,12.93,Humenné,Prešovský
Jasenov,126.0,967.0,13.02,Humenné,Prešovský
Kalinov,29.0,204.0,14.7,Humenné,Prešovský
Kalná Roztoka,30.0,452.0,6.63,Humenné,Prešovský
Kamenica nad Cirochou,174.0,1868.0,9.31,Humenné,Prešovský
Kamienka,54.0,445.0,12.13,Humenné,Prešovský
Karná,56.0,352.0,15.9,Humenné,Prešovský
Klenová,66.0,395.0,16.7,Humenné,Prešovský
Kochanovce,69.0,644.0,10.71,Humenné,Prešovský
Kolbasov,23.0,93.0,24.73,Humenné,Prešovský
Kolonica,57.0,490.0,11.63,Humenné,Prešovský
Košarovce,71.0,497.0,14.28,Humenné,Prešovský
Koškovce,108.0,480.0,22.5,Humenné,Prešovský
Krásny Brod,39.0,360.0,10.83,Humenné,Prešovský
Lackovce,99.0,535.0,18.5,Humenné,Prešovský
Ladomirov,18.0,259.0,7.33,Humenné,Prešovský
Lieskovec,63.0,378.0,16.66,Humenné,Prešovský
Ľubiša,100.0,643.0,15.55,Humenné,Prešovský
Lukačovce,50.0,404.0,12.37,Humenné,Prešovský
Maškovce,19.0,54.0,35.18,Humenné,Prešovský
Medzilaborce,430.0,4976.0,8.64,Humenné,Prešovský
Michajlov,30.0,89.0,33.7,Humenné,Prešovský
Modra nad Cirochou,73.0,824.0,8.85,Humenné,Prešovský
Myslina,62.0,464.0,13.36,Humenné,Prešovský
Ňagov,47.0,357.0,13.16,Humenné,Prešovský
Nechválova Polianka,56.0,89.0,62.92,Humenné,Prešovský
Nižná Jablonka,46.0,138.0,33.33,Humenné,Prešovský
Nižná Sitnica,38.0,284.0,13.38,Humenné,Prešovský
Nižné Ladičkovce,31.0,282.0,10.99,Humenné,Prešovský
Nová Sedlica,40.0,252.0,15.87,Humenné,Prešovský
Ohradzany,69.0,497.0,13.88,Humenné,Prešovský
Oľka,44.0,248.0,17.74,Humenné,Prešovský
Oľšinkov,27.0,43.0,65.11,Humenné,Prešovský
Osadné,38.0,110.0,34.54,Humenné,Prešovský
Pakostov,54.0,388.0,13.91,Humenné,Prešovský
Palota,20.0,134.0,14.92,Humenné,Prešovský
Papín,94.0,789.0,11.91,Humenné,Prešovský
Parihuzovce,20.0,35.0,57.14,Humenné,Prešovský
Pčoliné,79.0,504.0,15.67,Humenné,Prešovský
Pichne,85.0,483.0,17.59,Humenné,Prešovský
Porúbka,24.0,220.0,10.9,Humenné,Prešovský
Príslop,21.0,57.0,36.84,Humenné,Prešovský
Prituľany,18.0,60.0,30.0,Humenné,Prešovský
Ptičie,70.0,524.0,13.35,Humenné,Prešovský
Radvaň nad Laborcom,82.0,446.0,18.38,Humenné,Prešovský
Repejov,54.0,133.0,40.6,Humenné,Prešovský
Rohožník,22.0,37.0,59.45,Humenné,Prešovský
Rokytov pri Humennom,51.0,269.0,18.95,Humenné,Prešovský
Rokytovce,44.0,163.0,26.99,Humenné,Prešovský
Roškovce,48.0,168.0,28.57,Humenné,Prešovský
Rovné,63.0,373.0,16.89,Humenné,Prešovský
Runina,44.0,80.0,55.0,Humenné,Prešovský
Ruská Kajňa,24.0,105.0,22.85,Humenné,Prešovský
Ruská Poruba,58.0,196.0,29.59,Humenné,Prešovský
Ruská Volová,29.0,96.0,30.2,Humenné,Prešovský
Ruský Potok,23.0,123.0,18.69,Humenné,Prešovský
Slovenská Volová,41.0,393.0,10.43,Humenné,Prešovský
Slovenské Krivé,23.0,108.0,21.29,Humenné,Prešovský
Šmigovec,14.0,78.0,17.94,Humenné,Prešovský
Snina,1187.0,16370.0,7.25,Humenné,Prešovský
Sopkovce,20.0,91.0,21.97,Humenné,Prešovský
Stakčín,162.0,1992.0,8.13,Humenné,Prešovský
Stakčínska Roztoka,33.0,277.0,12.27,Humenné,Prešovský
Strihovce,15.0,149.0,10.06,Humenné,Prešovský
Sukov,46.0,106.0,43.39,Humenné,Prešovský
Svetlice,30.0,123.0,24.39,Humenné,Prešovský
Topoľa,39.0,140.0,27.85,Humenné,Prešovský
Topoľovka,110.0,659.0,16.69,Humenné,Prešovský
Turcovce,63.0,261.0,24.13,Humenné,Prešovský
Ubľa,142.0,644.0,22.04,Humenné,Prešovský
Udavské,132.0,1031.0,12.8,Humenné,Prešovský
Ulič,32.0,769.0,4.16,Humenné,Prešovský
Uličské Krivé,30.0,201.0,14.92,Humenné,Prešovský
Valentovce,26.0,50.0,52.0,Humenné,Prešovský
Veľopolie,70.0,299.0,23.41,Humenné,Prešovský
Víťazovce,62.0,266.0,23.3,Humenné,Prešovský
Volica,45.0,257.0,17.5,Humenné,Prešovský
Výrava,38.0,145.0,26.2,Humenné,Prešovský
Vyšná Jablonka,38.0,68.0,55.88,Humenné,Prešovský
Vyšná Sitnica,57.0,323.0,17.64,Humenné,Prešovský
Vyšné Ladičkovce,25.0,183.0,13.66,Humenné,Prešovský
Vyšný Hrušov,35.0,384.0,9.11,Humenné,Prešovský
Závada,20.0,77.0,25.97,Humenné,Prešovský
Závadka,48.0,435.0,11.03,Humenné,Prešovský
Zboj,65.0,326.0,19.93,Humenné,Prešovský
Zbojné,39.0,158.0,24.68,Humenné,Prešovský
Zbudská Belá,21.0,107.0,20.56,Humenné,Prešovský
Zbudské Dlhé,52.0,450.0,11.55,Humenné,Prešovský
Zemplínske Hámre,59.0,1030.0,5.72,Humenné,Prešovský
Zubné,39.0,311.0,12.54,Humenné,Prešovský
Abrahámovce,40.0,205.0,19.51,Kežmarok,Prešovský
Bušovce,28.0,248.0,11.29,Kežmarok,Prešovský
Červený Kláštor,78.0,224.0,35.26,Kežmarok,Prešovský
Havka,7.0,34.0,20.58,Kežmarok,Prešovský
Holumnica,21.0,641.0,3.27,Kežmarok,Prešovský
Hradisko,15.0,84.0,17.85,Kežmarok,Prešovský
Huncovce,127.0,1863.0,6.81,Kežmarok,Prešovský
Ihľany,81.0,995.0,8.14,Kežmarok,Prešovský
Jezersko,11.0,82.0,13.41,Kežmarok,Prešovský
Jurské,38.0,679.0,5.59,Kežmarok,Prešovský
Kežmarok,1607.0,13202.0,12.2,Kežmarok,Prešovský
Krížová Ves,179.0,1264.0,14.16,Kežmarok,Prešovský
Lechnica,41.0,204.0,20.09,Kežmarok,Prešovský
Lendak,381.0,3472.0,10.97,Kežmarok,Prešovský
Ľubica,269.0,3113.0,8.64,Kežmarok,Prešovský
Majere,14.0,83.0,16.86,Kežmarok,Prešovský
Malá Franková,14.0,142.0,9.85,Kežmarok,Prešovský
Malý Slavkov,82.0,702.0,11.68,Kežmarok,Prešovský
Matiašovce,71.0,594.0,11.95,Kežmarok,Prešovský
Mlynčeky,79.0,503.0,15.7,Kežmarok,Prešovský
Osturňa,90.0,264.0,34.09,Kežmarok,Prešovský
Podhorany,49.0,1078.0,4.54,Kežmarok,Prešovský
Rakúsy,84.0,1520.0,5.52,Kežmarok,Prešovský
Reľov,26.0,264.0,9.84,Kežmarok,Prešovský
Slovenská Ves,103.0,1359.0,7.57,Kežmarok,Prešovský
Spišská Belá,624.0,5003.0,12.47,Kežmarok,Prešovský
Spišská Stará Ves,143.0,1811.0,7.89,Kežmarok,Prešovský
Spišské Hanušovce,71.0,555.0,12.79,Kežmarok,Prešovský
Stará Lesná,55.0,732.0,7.51,Kežmarok,Prešovský
Stráne pod Tatrami,25.0,960.0,2.6,Kežmarok,Prešovský
Toporec,47.0,1305.0,3.6,Kežmarok,Prešovský
Tvarožná,39.0,516.0,7.55,Kežmarok,Prešovský
Veľká Franková,37.0,263.0,14.06,Kežmarok,Prešovský
Veľká Lomnica,274.0,2903.0,9.43,Kežmarok,Prešovský
Vlková,140.0,526.0,26.61,Kežmarok,Prešovský
Vlkovce,44.0,347.0,12.68,Kežmarok,Prešovský
Vojňany,35.0,206.0,16.99,Kežmarok,Prešovský
Vrbov,91.0,995.0,9.14,Kežmarok,Prešovský
Výborná,16.0,647.0,2.47,Kežmarok,Prešovský
Žakovce,65.0,659.0,9.86,Kežmarok,Prešovský
Zálesie,5.0,59.0,8.47,Kežmarok,Prešovský
Baldovce,15.0,147.0,10.2,Poprad,Prešovský
Batizovce,199.0,1520.0,13.09,Poprad,Prešovský
Beharovce,46.0,133.0,34.58,Poprad,Prešovský
Bijacovce,66.0,643.0,10.26,Poprad,Prešovský
Brutovce,31.0,162.0,19.13,Poprad,Prešovský
Buglovce,37.0,216.0,17.12,Poprad,Prešovský
Dlhé Stráže,46.0,386.0,11.91,Poprad,Prešovský
Doľany,26.0,331.0,7.85,Poprad,Prešovský
Domaňovce,66.0,721.0,9.15,Poprad,Prešovský
Dravce,79.0,641.0,12.32,Poprad,Prešovský
Dúbrava,48.0,270.0,18.14,Poprad,Prešovský
Gánovce,134.0,1051.0,12.74,Poprad,Prešovský
Gerlachov,62.0,611.0,10.14,Poprad,Prešovský
Granč-Petrovce,44.0,485.0,9.07,Poprad,Prešovský
Harakovce,13.0,57.0,22.8,Poprad,Prešovský
Hôrka,119.0,1419.0,8.38,Poprad,Prešovský
Hozelec,57.0,623.0,9.63,Poprad,Prešovský
Hranovnica,161.0,2001.0,8.04,Poprad,Prešovský
Jablonov,44.0,736.0,5.97,Poprad,Prešovský
Jánovce,79.0,916.0,8.62,Poprad,Prešovský
Klčov,61.0,483.0,12.62,Poprad,Prešovský
Korytné,16.0,82.0,19.51,Poprad,Prešovský
Kravany,62.0,707.0,8.76,Poprad,Prešovský
Kurimany,61.0,300.0,20.33,Poprad,Prešovský
Levoča,1112.0,11194.0,9.93,Poprad,Prešovský
Liptovská Teplička,125.0,1724.0,7.25,Poprad,Prešovský
Lučivná,47.0,775.0,6.06,Poprad,Prešovský
Lúčka,32.0,98.0,32.65,Poprad,Prešovský
Mengusovce,68.0,483.0,14.07,Poprad,Prešovský
Mlynica,34.0,370.0,9.18,Poprad,Prešovský
Nemešany,56.0,313.0,17.89,Poprad,Prešovský
Nižné Repaše,34.0,164.0,20.73,Poprad,Prešovský
Nová Lesná,155.0,1267.0,12.23,Poprad,Prešovský
Oľšavica,56.0,225.0,24.88,Poprad,Prešovský
Ordzovany,39.0,131.0,29.77,Poprad,Prešovský
Pavľany,11.0,51.0,21.56,Poprad,Prešovský
Poľanovce,20.0,130.0,15.38,Poprad,Prešovský
Pongrácovce,22.0,84.0,26.19,Poprad,Prešovský
Poprad,5080.0,42513.0,11.95,Poprad,Prešovský
Spišská Teplica,228.0,1742.0,13.14,Poprad,Prešovský
Spišské Bystré,204.0,1888.0,10.8,Poprad,Prešovský
Spišské Podhradie,376.0,3006.0,12.5,Poprad,Prešovský
Spišský Hrhov,187.0,1021.0,18.31,Poprad,Prešovský
Spišský Štiavnik,137.0,1642.0,8.34,Poprad,Prešovský
Spišský Štvrtok,111.0,1850.0,6.0,Poprad,Prešovský
Štôla,76.0,417.0,18.22,Poprad,Prešovský
Štrba,449.0,3077.0,14.78,Poprad,Prešovský
Studenec,99.0,392.0,25.25,Poprad,Prešovský
Šuňava,203.0,1529.0,13.27,Poprad,Prešovský
Švábovce,77.0,972.0,8.02,Poprad,Prešovský
Svit,866.0,6223.0,13.91,Poprad,Prešovský
Tatranská Javorina,30.0,171.0,17.54,Poprad,Prešovský
Torysky,31.0,285.0,10.87,Poprad,Prešovský
Uloža,31.0,166.0,18.67,Poprad,Prešovský
Veľký Slavkov,79.0,1009.0,7.82,Poprad,Prešovský
Vernár,77.0,506.0,15.21,Poprad,Prešovský
Vikartovce,88.0,1320.0,6.66,Poprad,Prešovský
Vydrník,49.0,763.0,6.42,Poprad,Prešovský
Vyšné Repaše,21.0,95.0,22.1,Poprad,Prešovský
Vyšný Slavkov,53.0,238.0,22.26,Poprad,Prešovský
Vysoké Tatry,807.0,3707.0,21.76,Poprad,Prešovský
Ždiar,104.0,1079.0,9.63,Poprad,Prešovský
Abranovce,42.0,435.0,9.65,Prešov,Prešovský
Bajerov,60.0,350.0,17.14,Prešov,Prešovský
Bajerovce,35.0,245.0,14.28,Prešov,Prešovský
Bertotovce,40.0,380.0,10.52,Prešov,Prešovský
Bodovce,45.0,259.0,17.37,Prešov,Prešovský
Brestov,71.0,368.0,19.29,Prešov,Prešovský
Bretejovce,57.0,324.0,17.59,Prešov,Prešovský
Brežany,35.0,134.0,26.11,Prešov,Prešovský
Brezovica,75.0,1290.0,5.81,Prešov,Prešovský
Brezovička,51.0,351.0,14.52,Prešov,Prešovský
Bzenov,64.0,583.0,10.97,Prešov,Prešovský
Čelovce,90.0,245.0,36.73,Prešov,Prešovský
Červená Voda,53.0,373.0,14.2,Prešov,Prešovský
Červenica,29.0,590.0,4.91,Prešov,Prešovský
Červenica pri Sabinove,90.0,651.0,13.82,Prešov,Prešovský
Chmeľov,55.0,763.0,7.2,Prešov,Prešovský
Chmeľovec,64.0,341.0,18.76,Prešov,Prešovský
Chmiňany,30.0,542.0,5.53,Prešov,Prešovský
Chminianska Nová Ves,115.0,992.0,11.59,Prešov,Prešovský
Chminianske Jakubovany,47.0,1082.0,4.34,Prešov,Prešovský
Ďačov,56.0,576.0,9.72,Prešov,Prešovský
Daletice,18.0,82.0,21.95,Prešov,Prešovský
Demjata,97.0,845.0,11.47,Prešov,Prešovský
Drienica,111.0,606.0,18.31,Prešov,Prešovský
Drienov,118.0,1661.0,7.1,Prešov,Prešovský
Drienovská Nová Ves,80.0,595.0,13.61,Prešov,Prešovský
Dubovica,93.0,1155.0,8.05,Prešov,Prešovský
Dulova Ves,97.0,637.0,15.22,Prešov,Prešovský
Fintice,181.0,1475.0,12.27,Prešov,Prešovský
Fričovce,79.0,854.0,9.25,Prešov,Prešovský
Fulianka,54.0,328.0,16.46,Prešov,Prešovský
Geraltov,40.0,125.0,32.0,Prešov,Prešovský
Gregorovce,69.0,642.0,10.74,Prešov,Prešovský
Hanigovce,24.0,120.0,20.0,Prešov,Prešovský
Haniska,70.0,536.0,13.05,Prešov,Prešovský
Hendrichovce,25.0,180.0,13.88,Prešov,Prešovský
Hermanovce,71.0,1125.0,6.31,Prešov,Prešovský
Hrabkov,62.0,600.0,10.33,Prešov,Prešovský
Hubošovce,70.0,396.0,17.67,Prešov,Prešovský
Jakovany,30.0,295.0,10.16,Prešov,Prešovský
Jakubova Voľa,38.0,325.0,11.69,Prešov,Prešovský
Jakubovany,94.0,749.0,12.55,Prešov,Prešovský
Janov,52.0,248.0,20.96,Prešov,Prešovský
Janovík,79.0,239.0,33.05,Prešov,Prešovský
Jarovnice,87.0,2983.0,2.91,Prešov,Prešovský
Kamenica,117.0,1437.0,8.14,Prešov,Prešovský
Kapušany,293.0,1668.0,17.56,Prešov,Prešovský
Kendice,170.0,1331.0,12.84,Prešov,Prešovský
Klenov,33.0,195.0,16.92,Prešov,Prešovský
Kojatice,100.0,796.0,12.56,Prešov,Prešovský
Kokošovce,51.0,601.0,8.65,Prešov,Prešovský
Krásna Lúka,61.0,547.0,11.15,Prešov,Prešovský
Krivany,49.0,834.0,5.87,Prešov,Prešovský
Krížovany,49.0,288.0,17.01,Prešov,Prešovský
Kvačany,54.0,219.0,24.65,Prešov,Prešovský
Lada,78.0,674.0,11.57,Prešov,Prešovský
Lažany,20.0,132.0,15.15,Prešov,Prešovský
Lemešany,131.0,1448.0,9.04,Prešov,Prešovský
Lesíček,25.0,212.0,11.79,Prešov,Prešovský
Ličartovce,88.0,694.0,12.68,Prešov,Prešovský
Lipany,494.0,4855.0,10.17,Prešov,Prešovský
Lipníky,47.0,398.0,11.8,Prešov,Prešovský
Lipovce,90.0,424.0,21.22,Prešov,Prešovský
Ľubotice,419.0,2478.0,16.9,Prešov,Prešovský
Ľubovec,40.0,416.0,9.61,Prešov,Prešovský
Lúčina,24.0,135.0,17.77,Prešov,Prešovský
Lúčka,54.0,505.0,10.69,Prešov,Prešovský
Ľutina,46.0,363.0,12.67,Prešov,Prešovský
Malý Šariš,121.0,1209.0,10.0,Prešov,Prešovský
Malý Slivník,13.0,499.0,2.6,Prešov,Prešovský
Medzany,92.0,553.0,16.63,Prešov,Prešovský
Miklušovce,76.0,269.0,28.25,Prešov,Prešovský
Milpoš,66.0,497.0,13.27,Prešov,Prešovský
Mirkovce,52.0,713.0,7.29,Prešov,Prešovský
Mošurov,50.0,150.0,33.33,Prešov,Prešovský
Nemcovce,72.0,373.0,19.3,Prešov,Prešovský
Nižný Slavkov,47.0,560.0,8.39,Prešov,Prešovský
Okružná,81.0,360.0,22.5,Prešov,Prešovský
Olejníkov,19.0,277.0,6.85,Prešov,Prešovský
Oľšov,41.0,299.0,13.71,Prešov,Prešovský
Ondrašovce,14.0,46.0,30.43,Prešov,Prešovský
Ostrovany,83.0,1127.0,7.36,Prešov,Prešovský
Ovčie,84.0,517.0,16.24,Prešov,Prešovský
Pečovská Nová Ves,187.0,1777.0,10.52,Prešov,Prešovský
Petrovany,149.0,1425.0,10.45,Prešov,Prešovský
Podhorany,75.0,592.0,12.66,Prešov,Prešovský
Podhradík,47.0,289.0,16.26,Prešov,Prešovský
Poloma,77.0,706.0,10.9,Prešov,Prešovský
Prešov,10730.0,73006.0,14.71,Prešov,Prešovský
Proč,65.0,336.0,19.64,Prešov,Prešovský
Pušovce,66.0,422.0,15.63,Prešov,Prešovský
Radatice,51.0,621.0,8.21,Prešov,Prešovský
Ratvaj,27.0,111.0,24.32,Prešov,Prešovský
Ražňany,117.0,1132.0,10.33,Prešov,Prešovský
Renčišov,19.0,141.0,13.47,Prešov,Prešovský
Rokycany,53.0,606.0,8.74,Prešov,Prešovský
Rožkovany,87.0,984.0,8.84,Prešov,Prešovský
Ruská Nová Ves,112.0,817.0,13.7,Prešov,Prešovský
Sabinov,1062.0,9523.0,11.15,Prešov,Prešovský
Šarišská Poruba,34.0,354.0,9.6,Prešov,Prešovský
Šarišská Trstená,34.0,206.0,16.5,Prešov,Prešovský
Šarišské Bohdanovce,94.0,597.0,15.74,Prešov,Prešovský
Šarišské Dravce,65.0,970.0,6.7,Prešov,Prešovský
Šarišské Michaľany,224.0,2210.0,10.13,Prešov,Prešovský
Šarišské Sokolovce,35.0,421.0,8.31,Prešov,Prešovský
Sedlice,103.0,806.0,12.77,Prešov,Prešovský
Seniakovce,39.0,106.0,36.79,Prešov,Prešovský
Šindliar,85.0,418.0,20.33,Prešov,Prešovský
Široké,148.0,1881.0,7.86,Prešov,Prešovský
Štefanovce,34.0,164.0,20.73,Prešov,Prešovský
Suchá Dolina,21.0,161.0,13.04,Prešov,Prešovský
Svinia,90.0,1081.0,8.32,Prešov,Prešovský
Teriakovce,85.0,470.0,18.08,Prešov,Prešovský
Terňa,108.0,874.0,12.35,Prešov,Prešovský
Tichý Potok,61.0,278.0,21.94,Prešov,Prešovský
Torysa,111.0,1071.0,10.36,Prešov,Prešovský
Trnkov,39.0,181.0,21.54,Prešov,Prešovský
Tuhrina,21.0,306.0,6.86,Prešov,Prešovský
Tulčík,140.0,1052.0,13.3,Prešov,Prešovský
Uzovce,95.0,409.0,23.22,Prešov,Prešovský
Uzovské Pekľany,34.0,282.0,12.05,Prešov,Prešovský
Uzovský Šalgov,65.0,485.0,13.4,Prešov,Prešovský
Varhaňovce,86.0,846.0,10.16,Prešov,Prešovský
Veľký Šariš,563.0,4215.0,13.49,Prešov,Prešovský
