crumbs,turnout,url,id
"['Österreich', 'Steiermark', 'Obersteiermark', 'Bruck-Mürzzuschlag', 'Altenberg an der Rax']",57.2,http://euwahl2014.bmi.gv.at/62104.html,62104
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Urfahr-Umgebung', 'Altenberg bei Linz']",52.2,http://euwahl2014.bmi.gv.at/41602.html,41602
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Horn', 'Altenburg']",54.8,http://euwahl2014.bmi.gv.at/31101.html,31101
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd', 'Neunkirchen', 'Altendorf']",61.3,http://euwahl2014.bmi.gv.at/31801.html,31801
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Altenfelden']",44.1,http://euwahl2014.bmi.gv.at/41304.html,41304
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd - Ost', 'Baden', 'Altenmarkt an der Triesting']",56.7,http://euwahl2014.bmi.gv.at/30602.html,30602
"['Österreich', 'Steiermark', 'Oststeiermark', 'Hartberg-Fürstenfeld', 'Altenmarkt bei Fürstenfeld']",42.9,http://euwahl2014.bmi.gv.at/62201.html,62201
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Altenmarkt bei Sankt Gallen']",38.2,http://euwahl2014.bmi.gv.at/61205.html,61205
"['Österreich', 'Salzburg', 'Lungau/Pinzgau/Pongau', 'Sankt Johann im Pongau', 'Altenmarkt im Pongau']",37.9,http://euwahl2014.bmi.gv.at/50401.html,50401
"['Österreich', 'Oberösterreich', 'Innviertel', 'Braunau am Inn', 'Altheim']",39.4,http://euwahl2014.bmi.gv.at/40401.html,40401
"['Österreich', 'Kärnten', 'Kärnten Ost', 'Sankt Veit an der Glan', 'Althofen']",34.5,http://euwahl2014.bmi.gv.at/20501.html,20501
"['Österreich', 'Niederösterreich', 'Niederösterreich Mitte', 'Sankt Pölten (Land)', 'Altlengbach']",44.3,http://euwahl2014.bmi.gv.at/31901.html,31901
"['Österreich', 'Niederösterreich', 'Weinviertel', 'Mistelbach', 'Altlichtenwarth']",42.9,http://euwahl2014.bmi.gv.at/31601.html,31601
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Zwettl', 'Altmelon']",54.0,http://euwahl2014.bmi.gv.at/32519.html,32519
"['Österreich', 'Oberösterreich', 'Traunviertel', 'Gmunden', 'Altmünster']",41.3,http://euwahl2014.bmi.gv.at/40701.html,40701
"['Österreich', 'Oberösterreich', 'Innviertel', 'Schärding', 'Altschwendt']",55.4,http://euwahl2014.bmi.gv.at/41401.html,41401
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Gmünd', 'Amaliendorf-Aalfang']",44.1,http://euwahl2014.bmi.gv.at/30902.html,30902
"['Österreich', 'Steiermark', 'Obersteiermark', 'Murtal', 'Amering']",27.8,http://euwahl2014.bmi.gv.at/62001.html,62001
"['Österreich', 'Tirol', 'Osttirol', 'Lienz', 'Amlach']",29.5,http://euwahl2014.bmi.gv.at/70703.html,70703
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Innsbruck-Land', 'Ampass']",34.1,http://euwahl2014.bmi.gv.at/70303.html,70303
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Vöcklabruck', 'Ampflwang im Hausruckwald']",42.4,http://euwahl2014.bmi.gv.at/41701.html,41701
"['Österreich', 'Niederösterreich', 'Mostviertel', 'Amstetten', 'Amstetten']",48.5,http://euwahl2014.bmi.gv.at/30502.html,30502
"['Österreich', 'Burgenland', 'Burgenland Nord', 'Neusiedl am See', 'Andau']",49.7,http://euwahl2014.bmi.gv.at/10701.html,10701
"['Österreich', 'Vorarlberg', 'Vorarlberg Nord', 'Bregenz', 'Andelsbuch']",35.3,http://euwahl2014.bmi.gv.at/80202.html,80202
"['Österreich', 'Niederösterreich', 'Weinviertel', 'Gänserndorf', 'Andlersdorf']",44.8,http://euwahl2014.bmi.gv.at/30802.html,30802
"['Österreich', 'Oberösterreich', 'Innviertel', 'Schärding', 'Andorf']",43.4,http://euwahl2014.bmi.gv.at/41402.html,41402
"['Österreich', 'Oberösterreich', 'Innviertel', 'Ried im Innkreis', 'Andrichsfurt']",33.7,http://euwahl2014.bmi.gv.at/41201.html,41201
"['Österreich', 'Tirol', 'Unterland', 'Kufstein', 'Angath']",33.0,http://euwahl2014.bmi.gv.at/70502.html,70502
