eligible,turnout,voters
1082,29.11,315
366,30.33,111
808,24.01,194
412,30.58,126
1188,30.98,368
335,33.43,112
484,39.46,191
467,42.18,197
937,27.75,260
383,31.07,119
210,39.52,83
376,25.0,94
322,27.02,87
925,32.0,296
764,28.4,217
580,22.07,128
445,31.46,140
380,33.16,126
428,23.13,99
1046,37.95,397
295,15.59,46
303,24.09,73
1827,29.56,540
708,29.24,207
2587,30.96,801
1601,31.98,512
474,33.76,160
390,23.08,90
1121,19.36,217
444,33.11,147
995,20.8,207
256,23.83,61
1601,31.98,512
329,25.84,85
458,33.84,155
537,28.12,151
20295,24.28,4927
223,30.49,68
722,27.56,199
986,38.64,381
965,27.15,262
362,24.03,87
267,29.59,79
294,17.69,52
566,27.56,156
1081,20.17,218
301,29.9,90
230,54.35,125
658,25.38,167
2212,29.02,642
386,37.05,143
635,23.15,147
335,41.49,139
850,22.71,193
860,23.95,206
2494,35.12,876
2119,36.67,777
315,28.89,91
257,24.9,64
443,31.83,141
512,21.88,112
852,21.01,179
621,24.32,151
405,24.44,99
623,32.26,201
620,20.16,125
756,39.95,302
626,19.81,124
292,36.3,106
317,24.92,79
464,19.61,91
300,30.0,90
293,33.11,97
576,22.05,127
1442,31.41,453
602,26.41,159
490,25.1,123
861,20.91,180
275,33.09,91
998,36.87,368
311,25.4,79
1931,27.96,540
261,22.22,58
620,16.77,104
638,27.12,173
661,30.71,203
175,32.0,56
162,52.47,85
319,24.76,79
976,30.43,297
1471,14.0,206
493,16.63,82
383,36.55,140
597,17.76,106
396,17.17,68
1404,26.0,365
318,29.87,95
909,27.83,253
712,25.42,181
4833,23.32,1127
569,25.83,147
592,35.98,213
1235,21.05,260
329,35.26,116
916,27.07,248
351,30.77,108
317,31.23,99
372,28.76,107
582,33.33,194
1182,32.15,380
585,36.58,214
424,28.3,120
494,27.73,137
1378,14.95,206
588,36.56,215
1117,22.11,247
476,20.59,98
1076,19.7,212
792,25.63,203
2950,25.12,741
1068,22.38,239
714,22.97,164
1031,18.62,192
3559,23.57,839
789,24.46,193
579,22.45,130
819,19.54,160
615,22.6,139
1439,16.26,234
351,18.52,65
2583,20.98,542
610,31.64,193
974,18.28,178
687,15.87,109
