crumbs,turnout,url,id
"['Österreich', 'Tirol', 'Osttirol', 'Lienz', 'Abfaltersbach']",54.2,https://bundeswahlen.gv.at/2019_2/70701.html,70701
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Innsbruck-Land', 'Absam']",50.6,https://bundeswahlen.gv.at/2019_2/70301.html,70301
"['Österreich', 'Niederösterreich', 'Niederösterreich Mitte', 'Tulln', 'Absdorf']",58.6,https://bundeswahlen.gv.at/2019_2/32101.html,32101
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Hallein', 'Abtenau']",53.8,https://bundeswahlen.gv.at/2019_2/50201.html,50201
"['Österreich', 'Niederösterreich', 'Thermenregion', 'Mödling', 'Achau']",54.7,https://bundeswahlen.gv.at/2019_2/31701.html,31701
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Schwaz', 'Achenkirch']",39.5,https://bundeswahlen.gv.at/2019_2/70901.html,70901
"['Österreich', 'Niederösterreich', 'Niederösterreich Ost', 'Gänserndorf', 'Aderklaa']",69.8,https://bundeswahlen.gv.at/2019_2/30801.html,30801
"['Österreich', 'Oberösterreich', 'Traunviertel', 'Steyr-Land', 'Adlwang']",51.7,https://bundeswahlen.gv.at/2019_2/41501.html,41501
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Admont']",39.2,https://bundeswahlen.gv.at/2019_2/61253.html,61253
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Hallein', 'Adnet']",56.3,https://bundeswahlen.gv.at/2019_2/50202.html,50202
"['Österreich', 'Steiermark', 'Obersteiermark', 'Bruck-Mürzzuschlag', 'Aflenz ']",49.1,https://bundeswahlen.gv.at/2019_2/62138.html,62138
"['Österreich', 'Kärnten', 'Villach', 'Villach-Land', 'Afritz am See']",45.2,https://bundeswahlen.gv.at/2019_2/20701.html,20701
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Krems(Land)', 'Aggsbach']",60.4,https://bundeswahlen.gv.at/2019_2/31301.html,31301
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Aich']",50.2,https://bundeswahlen.gv.at/2019_2/61254.html,61254
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Wels-Land', 'Aichkirchen']",59.9,https://bundeswahlen.gv.at/2019_2/41801.html,41801
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Aigen im Ennstal']",45.7,https://bundeswahlen.gv.at/2019_2/61203.html,61203
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Aigen-Schlägl']",51.1,https://bundeswahlen.gv.at/2019_2/41343.html,41343
"['Österreich', 'Tirol', 'Osttirol', 'Lienz', 'Ainet']",44.0,https://bundeswahlen.gv.at/2019_2/70702.html,70702
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Grieskirchen', 'Aistersheim']",56.7,https://bundeswahlen.gv.at/2019_2/40801.html,40801
"['Österreich', 'Kärnten', 'Kärnten West', 'Feldkirchen', 'Albeck']",42.8,https://bundeswahlen.gv.at/2019_2/21001.html,21001
"['Österreich', 'Niederösterreich', 'Weinviertel', 'Hollabrunn', 'Alberndorf im Pulkautal']",54.2,https://bundeswahlen.gv.at/2019_2/31001.html,31001
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Urfahr-Umgebung', 'Alberndorf in der Riedmark']",56.1,https://bundeswahlen.gv.at/2019_2/41601.html,41601
"['Österreich', 'Vorarlberg', 'Vorarlberg Nord', 'Bregenz', 'Alberschwende']",53.5,https://bundeswahlen.gv.at/2019_2/80201.html,80201
"['Österreich', 'Steiermark', 'Oststeiermark', 'Weiz', 'Albersdorf-Prebuch']",52.7,https://bundeswahlen.gv.at/2019_2/61701.html,61701
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Krems(Land)', 'Albrechtsberg an der Großen Krems']",62.6,https://bundeswahlen.gv.at/2019_2/31302.html,31302
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Innsbruck-Land', 'Aldrans']",53.8,https://bundeswahlen.gv.at/2019_2/70302.html,70302
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Eferding', 'Alkoven']",60.1,https://bundeswahlen.gv.at/2019_2/40501.html,40501
"['Österreich', 'Niederösterreich', 'Thermenregion', 'Baden', 'Alland']",53.4,https://bundeswahlen.gv.at/2019_2/30601.html,30601
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Zwettl', 'Allentsteig']",57.3,https://bundeswahlen.gv.at/2019_2/32501.html,32501
"['Österreich', 'Steiermark', 'Weststeiermark', 'Leibnitz', 'Allerheiligen bei Wildon']",52.8,https://bundeswahlen.gv.at/2019_2/61001.html,61001
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Perg', 'Allerheiligen im Mühlkreis']",59.7,https://bundeswahlen.gv.at/2019_2/41101.html,41101
"['Österreich', 'Oberösterreich', 'Linz und Umgebung', 'Linz-Land', 'Allhaming']",57.4,https://bundeswahlen.gv.at/2019_2/41001.html,41001
"['Österreich', 'Niederösterreich', 'Mostviertel', 'Amstetten', 'Allhartsberg']",69.0,https://bundeswahlen.gv.at/2019_2/30501.html,30501
"['Österreich', 'Tirol', 'Unterland', 'Kufstein', 'Alpbach']",51.0,https://bundeswahlen.gv.at/2019_2/70501.html,70501
"['Österreich', 'Vorarlberg', 'Vorarlberg Süd', 'Feldkirch', 'Altach']",42.4,https://bundeswahlen.gv.at/2019_2/80401.html,80401
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Altaussee']",46.5,https://bundeswahlen.gv.at/2019_2/61204.html,61204
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Urfahr-Umgebung', 'Altenberg bei Linz']",64.3,https://bundeswahlen.gv.at/2019_2/41602.html,41602
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Horn', 'Altenburg']",64.0,https://bundeswahlen.gv.at/2019_2/31101.html,31101
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd', 'Neunkirchen', 'Altendorf']",59.6,https://bundeswahlen.gv.at/2019_2/31801.html,31801
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Altenfelden']",58.0,https://bundeswahlen.gv.at/2019_2/41304.html,41304
"['Österreich', 'Niederösterreich', 'Thermenregion', 'Baden', 'Altenmarkt an der Triesting']",63.6,https://bundeswahlen.gv.at/2019_2/30602.html,30602
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Altenmarkt bei Sankt Gallen']",50.5,https://bundeswahlen.gv.at/2019_2/61205.html,61205
"['Österreich', 'Salzburg', 'Lungau/Pinzgau/Pongau', 'Sankt Johann im Pongau', 'Altenmarkt im Pongau']",49.4,https://bundeswahlen.gv.at/2019_2/50401.html,50401
"['Österreich', 'Oberösterreich', 'Innviertel', 'Braunau am Inn', 'Altheim']",50.4,https://bundeswahlen.gv.at/2019_2/40401.html,40401
